post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_base-colour,attribute_data:pa_base-colour,attribute_default:pa_base-colour,attribute:pa_chair-style,attribute_data:pa_chair-style,attribute_default:pa_chair-style,attribute:pa_colour,attribute_data:pa_colour,attribute_default:pa_colour,attribute:pa_drawer-options,attribute_data:pa_drawer-options,attribute_default:pa_drawer-options,attribute:pa_fabric-range,attribute_data:pa_fabric-range,attribute_default:pa_fabric-range,attribute:pa_frame-colour,attribute_data:pa_frame-colour,attribute_default:pa_frame-colour,attribute:pa_furniture-option,attribute_data:pa_furniture-option,attribute_default:pa_furniture-option,attribute:pa_guestbed,attribute_data:pa_guestbed,attribute_default:pa_guestbed,attribute:pa_headboard,attribute_data:pa_headboard,attribute_default:pa_headboard,attribute:pa_leather-type,attribute_data:pa_leather-type,attribute_default:pa_leather-type,attribute:pa_leg-colour,attribute_data:pa_leg-colour,attribute_default:pa_leg-colour,attribute:pa_mattress-firmness,attribute_data:pa_mattress-firmness,attribute_default:pa_mattress-firmness,attribute:pa_mattress-options,attribute_data:pa_mattress-options,attribute_default:pa_mattress-options,attribute:pa_no-of-chairs,attribute_data:pa_no-of-chairs,attribute_default:pa_no-of-chairs,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sofa-options,attribute_data:pa_sofa-options,attribute_default:pa_sofa-options,attribute:pa_tent,attribute_data:pa_tent,attribute_default:pa_tent,attribute:pa_upholstry-colour,attribute_data:pa_upholstry-colour,attribute_default:pa_upholstry-colour,attribute:pa_vat-exempt,attribute_data:pa_vat-exempt,attribute_default:pa_vat-exempt
"Chiltern Pocket Sprung Folding Guest Bed",chiltern-pocket-sprung-folding-guest-bed,,1866,"The Chiltern folding guest bed provides an additional comfortable sleep surface yet can be easily stored away when not required.

The Chiltern has a manual system for extending and folding the legs; allowing you to quickly and easily transform it from a compact unit to a comfortable guest bed.

The mattress is tailored in blue and white Regency stripped fabric with a deep 12cm open coil spring interior offering a <strong>medium support.</strong>

Eucalyptus is used to create the sprung wooden slats that sit upon a strong 25mm tubular metal, anthracite frame.

The sprung slatted base works in harmony with your movement to provide pressure sensitive support, keeping your spine in good alignment for perfect relaxation and comfort.

This guest bed has 360 degree castors for ease of mobility and a space-saving design to allow you to store it discreetly when not in use.

The Chiltern collapsible small single guest bed provides your guests with a comfortable and supportive sleep surface.

<strong>Guest bed folded: H85cm x W80cm x D39cm</strong>

<strong>Guest bed extended: L200cm x W80cm x H39cm</strong>

FEATURES :

<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 0"" /> Material : Metal
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 1"" /> Finish : Anthracite
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 2"" /> Comes complete wtih mattress
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 3"" /> Matching furniture available
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 4"" /> Available at an affordable price
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 5"" /> Most classy and unique piece of furniture
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 6"" /> Images shown are for illustration purpose only

DIMENSIONS :

<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 7"" /> Mattress Size : 80cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 8"" /> Head End Height/Top to Bottom Height : 39cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 9"" /> Foot End Height/Top to Bottom Foot Height : 39cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 10"" /> Overall Length : 200cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 11"" /> Overall Width : 80cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Arezzo Folding Metal Single Bed In Anthracite With Mattress 12"" /> Clearance Under Bed : 20.5cm","Single 80cm Folding Guest Bed

<img class=""alignnone size-medium wp-image-5489"" src=""http://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/made-in-Italy-300x132.jpg"" alt=""made-in-Italy"" width=""300"" height=""132"" />",publish,,0,"2016-03-18 11:05:41",1,open,,,,no,no,,249.99,169.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Chiltern-FB-Open.jpg ! alt : Chiltern FB Open ! title : Chiltern FB Open ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Chiltern-FB-Closed.jpg ! alt : Chiltern FB Closed ! title : Chiltern FB Closed ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/chiltern-pocket-sprung-folding-guest-bed/,,,,,,,,,60,,,simple,,"Beds > Folding beds / Z Beds","Folding Bed|Guestbed|Z Bed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quantock Memory Foam Folding Guest Bed",quantock-memory-foam-folding-guest-bed,,1868,"The Quantock is a high quality folding guest bed; it boasts a layer of memory foam and provides a comfortable medium support.

This guest bed has 360 degree castors for ease of mobility and a <strong>space-saving design</strong> to allow you to store it discreetly when not in use.

The Quantock has an automatic mechanism for extending and folding the legs; allowing you to quickly and easily transform it from a compact unit to a comfortable guest bed.

The mattress combines support foam with a <strong>10mm layer of memory foam</strong> and is tailored in a quality damask cover.

The memory foam layer is temperature sensitive, designed to soften when it comes into contact with warm surfaces. It moulds itself to the sleeper’s body shape and reduces pressure points.

Below the memory foam is a base layer of high density foam that creates a solid foundation and offers additional support.

Eucalyptus has been used to make the sprung wooden slats that sit upon the strong 25mm square metal frame.

The sprung slatted base works in harmony with your movement to provide pressure sensitive support, keeping your spine in good alignment for perfect relaxation and comfort.

The Quantock collapsible small single guest bed folds out to provide a luxurious night`s sleep.

<strong>Guest bed folded: H85cm x W80cm x D39cm</strong>

<strong>Guest bed extended: L200cm x W80cm x H39cm</strong>

&nbsp;

FEATURES :

<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 0"" /> Material : Metal
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 1"" /> Finish : Anthracite
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 2"" /> Comes complete with mattress
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 3"" /> Matching furniture available
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 4"" /> Available at an affordable price
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 5"" /> Most classy and unique piece of furniture
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 6"" /> Images shown are for illustration purpose only

DIMENSIONS :

<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 7"" /> Mattress Size : 80cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 8"" /> Head End Height/Top to Bottom Height : 39cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 9"" /> Foot End Height/Top to Bottom Foot Height : 39cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 10"" /> Overall Length : 200cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 11"" /> Overall Width : 80cm
<img class=""tick-img"" src=""https://www.furnitureinfashion.net/images-dir-mob/arrow-icon-desc.png"" alt=""Luxor Folding Metal Single Bed With Mattress In Anthracite 12"" /> Clearance Under Bed : 20.5cm","Memory Foam Folding Guest Bed

<img class=""alignnone size-medium wp-image-5489"" src=""http://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/made-in-Italy-300x132.jpg"" alt=""made-in-Italy"" width=""300"" height=""132"" />",publish,,0,"2016-03-18 11:06:48",1,open,,,,no,no,,299.99,199.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Quantock-FB-Sgl-Open.jpg ! alt : Quantock FB Sgl Open ! title : Quantock FB Sgl Open ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Quantock-FB-Sgl-Closed.jpg ! alt : Quantock FB Sgl Closed ! title : Quantock FB Sgl Closed ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/quantock-memory-foam-folding-guest-bed/,,,,,,,,,60,,,simple,,"Beds > Folding beds / Z Beds","Folding Bed|Guestbed|memory foam|Z Bed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120cm Double|80cm Single",0|1|1,,,,,,,,,,,,,
"Helsinki Guestbed - White",helsinki-guestbed-white,,1869,"Helsinki Frame &amp; Guest Under Bed

This inspired bed by Serene Furnishings will certainly add a certain magic and charm and would be perfect for any bedroom of a little princess. The beautiful Helsinki features soft, gentle curves to the head and footend.

Having this pretty bed frame in your child's bedroom will make bedtime fun and where dreams are made.
<ul>
 	<li>Kent Beds Helsinki</li>
 	<li>White metal bed frame</li>
 	<li>3ft (90cm) single (mattress size)</li>
 	<li>Pretty heart detailing</li>
 	<li>Sprung slatted base</li>
</ul>
&nbsp;

&nbsp;","Mattresses sold separately

Choose from narrow or full size underbed",publish,,0,"2016-03-18 11:26:13",1,closed,,,,no,no,,599.99,449.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Helsinki-Guest-Bed-B.jpg ! alt : Helsinki Guest Bed B ! title : Helsinki Guest Bed B ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Helsinki-Guest-Bed-A.jpg ! alt : Helsinki Guest Bed A ! title : Helsinki Guest Bed A ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Helsinki-Guest-Bed-C.jpg ! alt : Helsinki Guest Bed C ! title : Helsinki Guest Bed C ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/helsinki-guestbed-white/,,,,,,,,1,90,,,simple,,"Beds > Bedsteads|Beds > Guestbeds with Guest Underbed|Beds > Metal Beds",BED|Guestbed|metal|SINGLE,,,,,,,,,,,,,,,,,"Blue|Gloss White|Pink",1|1|1,,,,,"2.6 Small Single Gloss White|3.0 Single Gloss White",3|1|1,,,,,,,,,,,,,,,,,,,,"3.0 Single",0|1|1,,,,,,,,,,,,,
"Kentucky Metal Action Sofabed",kentucky-metal-action-sofabed,,2347,"Kentucky Metal Action Sofabed

Foam filled cushions &amp; sprung back give a more comfortable firmer seat.

Hardwood &amp; timber product frame from a sustainable source

Three Fold sofabed action with Microquilted fibre block mattress

Dimensions: 86cm H x 82cm D x 153cm W (Sleeping surface 112 x 180cm)

&nbsp;

We always have lots in stock for immediate delivery, but colours vary.

Please call your local store to find out what we have","Various colours in stock for immediate delivery",publish,,0,"2016-03-20 12:40:23",1,closed,,,,no,no,,1299.99,799.99,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Kentucky-closed-1.jpg ! alt :  ! title : Kentucky-closed-1 ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Kentucky-1.jpg ! alt : Kentucky ! title : Kentucky 1 ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Kentucky-2.jpg ! alt : Kentucky ! title : Kentucky 2 ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/kentucky-3.jpg ! alt : kentucky ! title : kentucky 3 ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Kentucky-4.jpg ! alt : Kentucky ! title : Kentucky 4 ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/kentucky-sofabed.jpg ! alt : kentucky sofabed ! title : kentucky sofabed ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Kentucky-Open-co.jpg ! alt :  ! title : Kentucky-Open-co ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Kentucky-sofabed.jpg ! alt :  ! title : Kentucky-sofabed ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/kentucky-metal-action-sofabed/,,,,,,,,1,90,,,simple,,"Beds > Sofabeds",Sofabed,,,,,,,,,,,,,,"RANGE A|RANGE B|RANGE C|RANGE D",1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Westminster American White Oak Extending Dining Table + 6 Chairs",westminster-oak-dining-table,,2469,"A classic extending dining table with a chunky 40mm thick top in a sumptuous Waxed Oak finish.

Made from the finest American White Oak and Oak Veneers, the Westminster features a 40cm butterfly extension system that is stored within the table when not in use.

Matching Solid Oak Dining Chair with a choice of comfortable, padded upholstered seats in either faux leather or Taupe Linen.
<ul>
 	<li>Waxed Oak Finish</li>
 	<li>Versatile Look that Suits both Modern and Period Surroundings</li>
 	<li>Table Extends from 140cm to 180cm in Length</li>
 	<li>Easy Care Faux Leather Seat Pad</li>
 	<li>140 40cm x 90cm x 78cmH</li>
</ul>","140 40 x 90 x 78cm H",publish,,0,"2016-03-20 15:24:32",1,open,,,,no,no,,1999.99,1499.99,,,,,,visible,instock,no,,,no,taxable,,1638|1639,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/westminster-roomset.jpg ! alt : westminster roomset ! title : westminster-roomset ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/westminster.jpg ! alt : westminster ! title : westminster ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/04/Westminster-Oak-Chair.jpg ! alt : Westminster Oak Chair ! title : Westminster Oak Chair ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/westminster-oak-dining-table/,,,,,,,,,90,,,simple,,"Dining > Dining Chairs|Dining > Dining Tables","Dining Table|oak",,,,,"Hereford Taupe Linen|Westminster Faux Leather",1|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table &amp; 8 Chairs|0 Chairs (Table Only)|Table &amp; 4 Chairs|Table &amp; 6 Chairs",2|1|0,,,,,,,,,,,,,,,,
"Tokyo Plantation Hardwood Dropleaf Dining Table + 2 Chairs",tokyo-plantation-hardwood-dropleaf-dining-table-2-chairs,,2483,"A space saving drop leaf table in a honey pine finish with matching Windsor style solid wood dining chairs.
<ul>
 	<li>Also available with Yorkshire Fiddleback Dining Chairs</li>
 	<li>Made from solid plantation hardwood</li>
 	<li>91cm x 91cm x 74cm H</li>
</ul>","91 x 91 x 74cm H
56cm wide when sides are dropped",publish,,0,"2016-03-20 15:45:34",1,closed,,,,no,no,,499.99,399.99,,,,,,visible,instock,no,,,no,taxable,,1638|1639,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Tokyo-dropleaf.jpg ! alt : Tokyo dropleaf ! title : Tokyo dropleaf ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Tokyo-dropleaf-closed.jpg ! alt : Tokyo dropleaf closed ! title : Tokyo dropleaf closed ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/tokyo-plantation-hardwood-dropleaf-dining-table-2-chairs/,,,,,,,,,90,,,simple,,"Dining > Dining Tables","Dining Table|oak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table &amp; 2 Chairs|Table &amp; 4 Chairs",0|1|1,,,,,,,,,,,,,,,,
"Cambridge Extending Dining Table + 6 Chairs",cambridge-extending-dining-table-6-chairs,,2488,"A traditional extending dining table constructed from rubberwood and MDF in a classic mahogany finish. The Cambridge features a 40cm butterfly extension system that is stored within the table when not in use. The matching Cambridge Dining Chairs feature a comfortable padded faux leather seatpad, with a shaped back adding extra comfort for your posture.
<ul>
 	<li>Durable Walnut Lacquered Finish</li>
 	<li>Extends to 160cm in Length</li>
 	<li>Easy Care Faux Leather Seatpads</li>
</ul>
<h3>120cm D x 90cm W x 77cm H</h3>","120 40 x 90 x 77cm H

Mahogany finish.",publish,,0,"2016-03-20 15:52:42",1,closed,,,,no,no,,1499.99,999.99,,,,,,visible,instock,no,,,no,taxable,,1638|1639,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/cambridge-dining-set-roomset.jpg ! alt :  ! title : cambridge-dining-set-roomset ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/cambridge-dining-set.jpg ! alt :  ! title : cambridge-dining-set ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/cambridge-dining-chair.jpg ! alt :  ! title : cambridge-dining-chair ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/cambridge-extending-dining-table-6-chairs/,,,,,,,,1,60,,,simple,,"Dining > Dining Tables","Dining Table|extending|walnut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 Chairs (Table Only)|1 Chair Only (No Table)|Table &amp; 6 Chairs",0|1|1,,,,,,,,,,,,,,,,
"Crete Dining Table + 4 Chairs",crete-dining-table-4-chairs,,2943,"A timeless retro design reflecting the style of the 1950's. The Crete dining set is crafted from malaysian hardwood ensuring long lasting durability, finished with a white lacquered top with limed oak effect legs.
<ul>
 	<li>Classic and Timeless Design</li>
 	<li>Strong Solid Wood Base Construction</li>
 	<li>Durable Matt White Lacquered Top</li>
 	<li>Co-ordinating items available include the Crete Lamp and Coffee table.</li>
</ul>
<h3>90cm D x 90cm W x 75cm H</h3>
&nbsp;","90 x 90 x 75cm H

White with Limed Oak legs",publish,,0,"2016-03-24 15:51:44",1,closed,,,,no,no,,699.99,399.99,,,,,,visible,instock,no,,,no,taxable,,1638|1639,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/crete-roomset.jpg ! alt :  ! title : crete-roomset ! desc :  ! caption :  | https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/crete-dining-set.jpg ! alt :  ! title : crete-dining-set ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/crete-dining-table-4-chairs/,,,,,,,,,60,,,simple,,"Dining > Dining Tables","Dining Table|oak|white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table &amp; 4 Chairs",0|1|1,,,,,,,,,,,,,,,,
"Hollowfibre Pillow Pair",hollowfibre-pillow-pair,,3168,"You're guaranteed to get a comfortable night sleep with our Hollowfibre Pillows. Soft and light synthetic hollowfibre filling that will make you feel cozy and keep you warm and snug when you jump into bed. An excellent value pillow which remains soft and in shape after each wash.","Packaging may vary from stock photo",publish,,0,"2016-03-25 13:48:26",1,open,,,,no,no,,14.99,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Hollowfibre_Pillows_1024x1024.jpg ! alt : Hollowfibre Pillows ! title : Hollowfibre_Pillows_1024x1024 ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/hollowfibre-pillow-pair/,,,,,,,,,,,,simple,,"Shopfront > Pillows",Pillows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microfibre Pillow Pair",microfibre-pillow-pair,,3171,"For those who find themselves using two pillows for extra firmness, our hypoallergenic, extra fill pillows are thick and stuffed full of bounce-back microfibre.

<strong>Down Alternative</strong>

A great alternative to feather and down fillings, this machine washable pillow is filled with spongy microfibre. Perfect for those who usually prefer to use multiple pillows, these extra-height pillows offer incredible thickness and support.

<strong>Perfect for Allergy Sufferers</strong>

Microfibre was originally developed for use in hotels as a more affordable alternative to down, so the resulting product is soft, full and supportive as well as being hypoallergenic and anti-dust mite thanks to the thick microfibre casing.","Packaging may vary from stock photo",publish,,0,"2016-03-25 13:48:49",1,open,,,,no,no,,24.99,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Microfibre_Pillows_1024x1024.jpg ! alt : Microfibre Pillows ! title : Microfibre_Pillows_1024x1024 ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/microfibre-pillow-pair/,,,,,,,,,,,,simple,,"Shopfront > Pillows",Pillows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egyptian Cotton Pillow Pair",egyptian-cotton-pillow-pair,,3178,"Make your bed more comfortable and luxurious with this pair of Egyptian Cotton pillows. The luxury-feel Egyptian cotton covers ensure that these pillows offer superior comfort and softness, plus they're deep filled with super-soft hollowfibre for a great night's sleep. The natural fabric is naturally breathable and helps to keep you cool, so these pillows are a perfect way to update your bedding for the warmer months.","Packaging may vary from stock photo",publish,,0,"2016-03-25 13:50:35",1,open,,,,no,no,,39.99,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Egyptian_Cotton_Pair_Pillows.jpg ! alt : Egyptian Cotton Pair Pillows ! title : Egyptian_Cotton_Pair_Pillows ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/egyptian-cotton-pillow-pair/,,,,,,,,,,,,simple,,"Shopfront > Pillows",Pillows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duck Feather & Down Pillow Pair",duck-feather-down-pillow-pair,,3180,"The perfect blend of supportive feathers and cosy down, these soft, duck feather and down pillows offer soft-medium support, ideal for front and back sleepers. 100% Cotton Casing The anti-dust mite, twin stitched cover is crafted from 233 thread count, down-proof cotton, so your pillow will stay packed with natural filling use after use","Packaging may vary from stock photo",publish,,0,"2016-03-25 13:52:25",1,open,,,,no,no,,39.99,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Duck-pillows.jpg ! alt : Duck pillows ! title : Duck pillows ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/duck-feather-down-pillow-pair/,,,,,,,,,,,,simple,,"Shopfront > Pillows",Pillows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory Foam Pillow",goose-feather-down-pillow,,3181,"If you need a pillow that offers extra support, this Memory Foam Pillow is the ideal choice. The comfortable memory foam has a firm level of support and helps to prevent aches, pains and discomfort. It moulds to your shape and supports your head and neck perfectly, helping you to find the best sleeping position for a great night's sleep.","Packaging may vary from stock photo",publish,,0,"2016-03-25 13:53:39",1,open,,,,no,no,,49.99,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Memory-Foam-Pillow.jpg ! alt : Memory Foam Pillow ! title : Memory Foam Pillow ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/goose-feather-down-pillow/,,,,,,,,,,,,simple,,"Shopfront > Pillows",Pillows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goose Feather & Down Pillow",goose-feather-down-pillow-2,,3182,"The goose feather and down pillows from Harwoods offer amazing value. The superior support provided by goose feather filling, combined with the loftiness of the goose down means that this pillow is an essential in attaining maximum comfort. Goose feathers have a much greater fill power than the duck counterparts, which results in a loft to weight ratio which is much better and fluffier than duck feather pillows. Due to the filling used, this pillow offers complete support to your neck, head and shoulders. Your allergy requirements are also considered, as this product has a 100 cotton casing, which itself has anti-dust mite properties and a hypoallergenic goose feather and down filling. Made to last, this product easily retains its shape","Packaging may vary from stock photo",publish,,0,"2016-03-25 14:35:35",1,open,,,,no,no,,39.99,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://kentbedsandsofas.co.uk/wp-content/uploads/2016/03/Goose_Feather_and_Down_Pillows_1024x1024.jpg ! alt : Goose Feather and Down Pillows ! title : Goose_Feather_and_Down_Pillows_1024x1024 ! desc :  ! caption : ",,https://kentbedsandsofas.co.uk/product/goose-feather-down-pillow-2/,,,,,,,,,,,,simple,,"Shopfront > Pillows",Pillows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
